id,Sex,W6,W12,W18,W24,Age,target
JL04072,1,45,48,49,34,833,333
JL04073,1,38,40,42,41,807,307
JL04074,1,42,49,50,0,674,174
JL04099,1,41,48,44,0,420,-80
JL04100,1,44,50,51,51,973,473
JL04101,1,33,39,41,41,1023,523
JL04105,1,48,54,44,0,408,-92
JL04106,1,52,53,58,47,765,265
JL04107,1,45,50,55,30,785,285
JL04117,1,39,39,49,44,939,439
JL04118,1,37,40,52,0,729,229
JL04119,1,41,47,44,0,546,46
JL04138,0,28,34,36,38,1051,551
JL04139,0,30,39,41,42,1197,697
JL04140,0,43,55,60,59,897,397
JL04141,0,27,40,40,30,778,278
JL04158,0,28,39,40,38,915,415
JL04159,0,31,44,37,37,997,497
JL04160,0,26,40,34,31,783,283
JL04161,0,39,51,51,51,908,408
JL04168,0,30,40,47,49,815,315
JL04169,0,37,55,54,53,815,315
JL04170,0,23,34,36,41,1037,537
JL04171,0,35,48,55,43,786,286
JL04189,1,35,42,45,45,793,293
JL04190,1,40,46,46,0,666,166
JL04191,1,46,51,42,26,835,335
JL04202,1,47,52,52,0,632,132
JL04203,1,47,45,30,0,575,75
JL04204,1,44,50,50,49,1242,742
JL04212,0,29,38,41,31,869,369
JL04213,0,27,35,43,45,1023,523
JL04214,0,40,49,54,57,891,391
JL04215,0,39,46,47,44,932,432
JL04240,1,50,57,44,0,525,25
JL04241,1,51,53,56,53,945,445
JL04242,1,51,62,56,50,822,322
JL04249,1,41,47,51,48,941,441
JL04250,1,43,47,48,0,716,216
JL04251,1,42,51,52,53,1141,641
JL04255,1,48,55,55,58,814,314
JL04256,1,51,58,44,0,534,34
JL04257,1,42,52,51,0,609,109
JL04266,0,25,42,48,52,908,408
JL04267,0,27,34,32,0,565,65
JL04268,0,22,27,28,32,957,457
JL04269,0,27,35,39,43,873,373
JL04270,1,35,44,44,41,1061,561
JL04271,1,41,47,48,47,1278,778
JL04272,1,46,52,46,0,598,98
JL04273,1,32,38,40,41,829,329
JL04274,1,43,48,44,0,446,-54
JL04275,1,40,47,47,48,1061,561
JL04276,1,35,50,51,0,606,106
JL04277,1,40,47,48,0,658,158
JL04278,1,42,45,47,31,908,408
JL04279,1,37,44,44,45,887,387
JL04280,1,41,48,49,49,873,373
JL04281,1,41,44,44,0,425,-75
JL04293,0,26,35,42,40,988,488
JL04294,0,28,35,38,0,722,222
JL04295,0,25,31,37,40,1085,585
JL04296,0,37,49,55,46,1093,593
JL04297,0,24,29,34,0,652,152
JL04298,0,28,36,37,38,972,472
JL04299,0,31,42,46,45,918,418
JL04300,0,20,27,27,28,988,488
JL04301,1,34,38,40,40,807,307
JL04302,1,38,44,45,42,890,390
JL04303,1,36,46,45,43,1017,517
JL04332,1,51,55,55,43,913,413
JL04333,1,42,45,46,33,897,397
JL04334,1,43,48,48,48,759,259
JL04376,1,47,53,46,0,688,188
JL04377,1,41,45,46,31,1044,544
JL04378,1,35.6,45.6,44,0,176,-324
JL04379,1,44,51,51,0,722,222
JL04380,1,48,52,50,26,827,327
JL04381,1,44,45.6,44,0,260,-240
JL04396,0,42,53,57,53,918,418
JL04397,0,48,64,74,0,590,90
JL04398,0,38,52,44,0,485,-15
JL04399,0,39,48,58,49,944,444
JL04407,1,43,47,50,50,995,495
JL04408,1,44,48,52,0,779,279
JL04409,1,41,45,46,38,1338,838
JL04419,0,36,38,54,52,1009,509
JL04420,0,32,36,50,0,793,293
JL04421,0,32,27,37,41,947,447
JL04422,0,24,24,37,0,793,293
JL04461,1,41,46,48,36,813,313
JL04462,1,50,51,35,0,568,68
JL04463,1,49,52,44,0,477,-23
JL04478,1,56,62,64,0,705,205
JL04479,1,42,46,44,0,375,-125
JL04480,1,53,53,44,0,467,-33
